"Species","logV","logVSE","Eo","EoSE","n","nSE","V","Vind","Eoind","nind"
"Phorcosergia bisulcata",1.55763207547413,0.195208015785395,0.396572636271316,0.118929553163052,-0.0460248623835262,0.0996523906450444,4.74756604658667,7.4319711958528,0.48603405313662,NA
"Phorcosergia grandis",1.43513281179972,0.204204175301363,0.37094451446179,0.145877376874164,-0.0623349258221579,0.0818698248574579,4.20020280824006,NA,NA,NA
"Pseudopleuronectes americanus",1.23770017471999,0.211432689766063,0.354139990131273,0.144742229478957,-0.0857463725572183,0.0850001458824076,3.4476752892657,1.68291005044252,0.412097339560424,NA
"Salmo salar",1.38795163137129,0.220931736012971,0.317895151343777,0.10084860407692,-0.116687524783928,0.0652324819305348,4.00663457713073,5.44275699196783,0.299630958758005,NA
"Salpa fusiformis",1.3141640360938,0.232909501765412,0.390391533440216,0.18588788679466,-0.0830181045009153,0.0800631328489888,3.72163852899977,NA,NA,NA
"Sciaenops ocellatus",1.30021343055368,0.23403808574315,0.119040405979279,0.149351495688196,-0.0941727890216394,0.0821268831965353,3.67007989121758,NA,NA,NA
"Scyliorhinus canicula",1.39486986471532,0.240458413815993,0.2687545171024,0.160207489920554,-0.131606137086311,0.0680964515288708,4.03444951423255,5.18479296037635,0.259121008922347,NA
"Sergia tenuiremis",1.47160552466001,0.191032916715274,0.376637942872201,0.115246864112061,-0.0521860061938443,0.0900842909897144,4.35622355386727,5.82639998059904,0.361885188420198,NA
"Sphoeroides maculatus",1.2791147255999,0.206064929239561,0.432389447016564,0.144909098546475,-0.072649649776904,0.0853470470266291,3.59345712144067,1.74602568916316,0.541857135632726,NA
"Stenobrachius leucopsarus",1.29141223732813,0.22793867536747,0.403392356057229,0.18317055814487,-0.0793781577292214,0.0876379364010656,3.63792053687861,NA,NA,NA
"Styela plicata",1.57283551121883,0.364154942774009,-0.0853025242792575,0.0869938390689682,-0.177498548578814,0.107575835047693,4.82029683995356,12.6214912325716,-0.177433557455386,NA
"Systellaspis debilis",1.41570791050593,0.180295480716796,0.237519064653598,0.085444761393285,-0.071838490288145,0.084917301685847,4.1194016016959,5.07487502240772,0.223055137973908,NA
"Tautogolabrus adspersus",1.34328503391006,0.226056599463395,0.227611862560199,0.156078874887306,-0.100018379934356,0.0757671483234851,3.83160982187264,NA,NA,NA
"Tigriopus brevicornis",1.310236866039,0.247729289707247,0.33748654632135,0.158673942417931,-0.116180448817783,0.0485315668879824,3.70705168287388,NA,NA,NA
"Zoarces viviparus",1.32608797903799,0.227624734220414,0.553718171421696,0.180710373550563,-0.0670939882315057,0.0828224601183413,3.76628076125729,4.85988182531695,0.853100087056547,NA
"Micropogonias undulatus",1.29997330322852,0.237771154272464,0.0753656983135945,0.0981219096947965,-0.097025264962675,0.0741124215147461,3.66919871055219,3.46509247135026,0.0354576779760705,NA
"Leiostomus xanthurus",1.32608088498414,0.234786866614756,0.0733957140439211,0.0996220442521703,-0.104168369761843,0.0773362754472195,3.76625404315354,3.6371226372397,0.0252030914493816,NA
