,Group,logV,logVsd,logVlow,logVhigh,n,nsd,nlow,nhigh,Eo,Eosd,Eolow,Eohigh,Nspecies,level
94,Plesiopidae,1.124223503,0.380138604,0.508658635,1.749401775,-0.037995321,0.068929982,-0.151015818,0.076879948,0.187875285,0.176344625,-0.117958301,0.473990707,1,Family
95,Pomacentridae,1.012858431,0.362455043,0.445327222,1.614189883,0.028325288,0.04289793,-0.040595531,0.096239906,0.175269716,0.170791886,-0.092599705,0.459366242,15,Family
96,Perciformes,1.199932724,0.421956137,0.485086232,1.847401602,-0.077373317,0.053602281,-0.164478408,0.007385976,0.232259646,0.178903126,-0.062256109,0.527417218,23,Order
97,Anoplopomatidae,1.116769473,0.353461221,0.54812973,1.728865423,-0.045389051,0.057792727,-0.126589155,0.0585382,0.235899564,0.162012864,-0.035713645,0.489926344,1,Family
98,Cottidae,1.307687093,0.285903554,0.867581678,1.778334764,-0.120518775,0.047567513,-0.198344933,-0.042432042,0.333928536,0.130864288,0.124393457,0.552748116,11,Family
99,Cyclopteridae,1.393455481,0.358930841,0.813163128,2.009031488,-0.070558744,0.065751068,-0.18306445,0.031823859,0.171141472,0.162949211,-0.107912652,0.413977263,1,Family
100,Hemitripteridae,1.389111217,0.337314549,0.849696097,1.931670203,-0.069134611,0.062542043,-0.169286115,0.033756971,0.19886758,0.157254009,-0.044082233,0.469163719,1,Family
101,Jordaniidae,1.213184099,0.363186389,0.626280053,1.811008995,-0.085570669,0.056324177,-0.179545497,0.005136214,0.282391934,0.160146108,0.014650456,0.53141599,1,Family
102,Lumpenidae,1.357436949,0.375425148,0.747430957,1.993967813,-0.070859754,0.066312175,-0.182351848,0.033660152,0.19071249,0.169407501,-0.098504778,0.455223436,1,Family
103,Nototheniidae,1.429514466,0.377566726,0.794172642,2.0170978,-0.079445637,0.07062967,-0.188721639,0.038525946,0.12944289,0.157542686,-0.117274041,0.385311433,1,Family
104,Pinguipedidae,1.093404461,0.4188293,0.4287078,1.789186817,-0.078875008,0.071442697,-0.202933161,0.028141002,0.236987257,0.180378684,-0.066065866,0.534442382,1,Family
105,Scorpaenidae,0.958994609,0.388642041,0.34855239,1.631106304,-0.088117553,0.063847095,-0.192281813,0.013237008,0.224847709,0.170611489,-0.058018321,0.493988852,2,Family
106,Serranidae,1.175918732,0.400509042,0.503550227,1.797399775,-0.074688351,0.062618277,-0.18085185,0.018789822,0.242571397,0.148857277,-0.001968105,0.48120443,1,Family
107,Zoarcidae,0.982568186,0.324238885,0.449816146,1.504825666,-0.110031431,0.06739849,-0.234560862,-0.016619316,0.418955447,0.154514683,0.158722438,0.668840927,2,Family
108,Pleuronectiformes,1.052738429,0.436888649,0.306066105,1.761824982,-0.061274836,0.054707195,-0.153549535,0.027280705,0.213075542,0.179362723,-0.081878416,0.495848773,4,Order
109,Paralichthyidae,0.983520773,0.409919173,0.352719122,1.679905965,-0.056037718,0.056766797,-0.153761463,0.040002295,0.237906927,0.173646117,-0.054462558,0.507835734,1,Family
